Názov;Názov liečiva;;;
Linezolid Sandoz 600 mg filmom obalené tablety;Linezolid;;;
Linola Fett Őlbad;Lieky s vazelínou a tukmi;;;
Linola Fett Őlbad;Lieky s vazelínou a tukmi;;;
LIPANTHYL NT 145 mg;Fenofibrát;;;
LIPANTHYL NT 145 mg;Fenofibrát;;;
LIPANTHYL SUPRA 160 mg;Fenofibrát;;;
LIPANTHYL SUPRA 160 mg;Fenofibrát;;;
LIPANTHYL SUPRA 215 mg;Fenofibrát;;;
LIPANTHYL SUPRA 215 mg;Fenofibrát;;;
Lipertance 10 mg/5 mg/5 mg;Atorvastatín, amlodipín a perindopril;;;
Lipertance 10 mg/5 mg/5 mg;Atorvastatín, amlodipín a perindopril;;;
Lipertance 20 mg/10 mg/10 mg;Atorvastatín, amlodipín a perindopril;;;
Lipertance 20 mg/10 mg/5 mg;Atorvastatín, amlodipín a perindopril;;;
Lipertance 20 mg/10 mg/5 mg;Atorvastatín, amlodipín a perindopril;;;
Lipertance 20 mg/5 mg/5 mg;Atorvastatín, amlodipín a perindopril;;;
Lipertance 20 mg/5 mg/5 mg;Atorvastatín, amlodipín a perindopril;;;
Lipertance 40 mg/10 mg/10 mg;Atorvastatín, amlodipín a perindopril;;;
Lisinopril-ratiopharm 10 mg;Lizinopril;;;
Lisinopril-ratiopharm 20 mg;Lizinopril;;;
Lisinopril-ratiopharm 5 mg;Lizinopril;;;
LITAK 2 mg/ml injekčný roztok;Kladribín;;;
Litfulo 50 mg tvrdé kapsuly;Ritlecitinib;;;
Lithium carbonicum - SLOVAKOFARMA;Lítium;;;
LIVIAL;Tibolón;;;
LIVTENCITY 200 mg filmom obalené tablety;Maribavir;;;
Lixiana 30 mg filmom obalené tablety;Edoxabán;;;
Lixiana 30 mg filmom obalené tablety;Edoxabán;;;
Lixiana 60 mg filmom obalené tablety;Edoxabán;;;
Lixiana 60 mg filmom obalené tablety;Edoxabán;;;
LOCOID 0,1 %;Hydrokortizónbutyrát;;;
LOCOID CRELO;Hydrokortizónbutyrát;;;
LOCOID LIPOCREAM 0,1 %;Hydrokortizónbutyrát;;;
Lodoz 10 mg/6,25 mg;Bisoprolol a tiazidy;;;
Lodoz 2,5 mg/6,25 mg;Bisoprolol a tiazidy;;;
Lodoz 5 mg/6,25 mg;Bisoprolol a tiazidy;;;
LOGNIF 0,5 mg tvrdé kapsuly;Fingolimod;;;
Lokren 20 mg;Betaxolol;;;
Lokren 20 mg;Betaxolol;;;
LOMEXIN 2 %;Fentikonazol;;;
LOMEXIN 600 mg;Fentikonazol;;;
Lonamo 100 mg;Sitagliptín;;;
Lonamo Duo 50 mg/1 000 mg;Metformín a sitagliptín;;;
Lonamo Duo 50 mg/850 mg;Metformín a sitagliptín;;;
Lonquex 6 mg injekčný roztok naplnený v injekčnej striekačke;Lipegfilgrastim;;;
Lonsurf 15 mg/6,14 mg filmom obalené tablety;Trifluridín, kominácie;;;
Lonsurf 15 mg/6,14 mg filmom obalené tablety;Trifluridín, kominácie;;;
Lonsurf 20 mg/8,19 mg filmom obalené tablety;Trifluridín, kominácie;;;
Lonsurf 20 mg/8,19 mg filmom obalené tablety;Trifluridín, kominácie;;;
Lopridam 4 mg/1,25 mg/10 mg;Perindopril,amlodipín a indapamid;;;
Lopridam 4 mg/1,25 mg/5 mg;Perindopril,amlodipín a indapamid;;;
Lopridam 4 mg/1,25 mg/5 mg;Perindopril,amlodipín a indapamid;;;
Lopridam 8 mg/2,5 mg/10 mg;Perindopril,amlodipín a indapamid;;;
Lopridam 8 mg/2,5 mg/10 mg;Perindopril,amlodipín a indapamid;;;
Lopridam 8 mg/2,5 mg/5 mg;Perindopril,amlodipín a indapamid;;;
Lopridam 8 mg/2,5 mg/5 mg;Perindopril,amlodipín a indapamid;;;
LORATADIN-ratiopharm 10 mg;Loratadín;;;
LORATADIN-ratiopharm 10 mg;Loratadín;;;
Lorista 100;Losartan;;;
Lorista 50;Losartan;;;
Lortanda 2,5 mg filmom obalené tablety;Letrozol;;;
Lortanda 2,5 mg filmom obalené tablety;Letrozol;;;
Lorviqua 100 mg filmom obalené tablety;Lorlatinib;;;
Lorviqua 25 mg filmom obalené tablety;Lorlatinib;;;
Losartan STADA Arzneimittel 50 mg filmom obalené tablety;Losartan;;;
Losartan STADA Arzneimittel 50 mg filmom obalené tablety;Losartan;;;
Losartan Zentiva 100 mg filmom obalené tablety;Losartan;;;
Losartan Zentiva 100 mg filmom obalené tablety;Losartan;;;
Losartan Zentiva 50 mg filmom obalené tablety;Losartan;;;
Losartan Zentiva 50 mg filmom obalené tablety;Losartan;;;
Losartan/Hydrochlorothiazide STADA Arzneimittel 100 mg/25 mg;Losartan a diuretiká;;;
Losartan/Hydrochlorothiazide STADA Arzneimittel 100 mg/25 mg;Losartan a diuretiká;;;
Losartan/Hydrochlorothiazide STADA Arzneimittel 50 mg/12,5 mg;Losartan a diuretiká;;;
Losartan/Hydrochlorothiazide STADA Arzneimittel 50 mg/12,5 mg;Losartan a diuretiká;;;
Lotemax;Loteprednol;;;
Lotriderm;Imidazolové a triazolové deriváty, kombinácie;;;
Loxentia 20 mg tvrdé gastrorezistentné kapsuly;Duloxetín;;;
Loxentia 40 mg tvrdé gastrorezistentné kapsuly;Duloxetín;;;
Lozap H;Losartan a diuretiká;;;
Lozap H;Losartan a diuretiká;;;
Lucentis 10 mg/ml injekčný roztok v naplnenej injekčnej striekačke;Ranibizumab;;;
LUMIGAN 0,3 mg/ml očná roztoková instilácia;Bimatoprost;;;
LUMINAL;Fenobarbital;;;
LUMYKRAS 120 mg filmom obalené tablety;Sotorasib;;;
Lunaldin 100 mikrogramov sublingválne tablety;Fentanyl;;;
Lunaldin 200 mikrogramov sublingválne tablety;Fentanyl;;;
Lunaldin 400 mikrogramov sublingválne tablety;Fentanyl;;;
Lunaldin 800 mikrogramov sublingválne tablety;Fentanyl;;;
Lusopress;Nitrendipín;;;
Lusopress;Nitrendipín;;;
Luveris 75 IU prášok a rozpúšťadlo na injekčný roztok;Lutropín-alfa;;;
Lynparza 150 mg filmom obalené tablety;Olaparib;;;
Lyrica 150 mg tvrdé kapsuly;Pregabalín;;;
Lyrica 300 mg tvrdé kapsuly;Pregabalín;;;
Lyrica 75 mg tvrdé kapsuly;Pregabalín;;;
Lysodren 500 mg tablety;Mitotán;;;
Lyumjev 100 jednotiek/ml injekčný roztok v injekčnej liekovke;Inzulín-lispro;;;
Lyumjev 100 jednotiek/ml KwikPen injekčný roztok v naplnenom pere;Inzulín-lispro;;;
Lyxit 12,5 mg;Tianeptín;;;
M-M-RVAXPRO prášok a disperzné prostredie na injekčnú suspenziu v naplnenej injekčnej striekačke;Očkovacia látka proti osýpkam, kombinácie s mumpsom a ružienkou, živá oslabená;;;
MABRON;Tramadol;;;
MABRON 50 mg;Tramadol;;;
MABRON RETARD 100;Tramadol;;;
MABRON RETARD 150;Tramadol;;;
Mabron Retard 200;Tramadol;;;
MabThera 1 400 mg roztok na subkutánnu injekciu;Rituximab;;;
MACMIROR;Nifuratel;;;
MACMIROR COMPLEX;Nystatín, kombinácie;;;
MACMIROR COMPLEX 500;Nystatín, kombinácie;;;
Magnesium sulfate Kalceks 100 mg/ml injekčný/infúzny roztok;Síran horečnatý;;;
Magnesium sulfate Kalceks 200 mg/ml injekčný/infúzny roztok;Síran horečnatý;;;
MAGNESIUM SULFURICUM BBP 100 mg/ml injekčný/infúzny roztok;Síran horečnatý;;;
MAGNESIUM SULFURICUM BBP 200 mg/ml injekčný/infúzny roztok;Síran horečnatý;;;
Magnosolv;Horčík (rôzne soli v kombinácii);;;
MAGRILAN 20 mg;Fluoxetín;;;
MAGRILAN 20 mg;Fluoxetín;;;
Malarone;Proguanil, kombinácie;;;
Maltofer;Komplexy oxid železitý-polymaltóza;;;
Maltofer;Komplexy oxid železitý-polymaltóza;;;
Maltofer;Komplexy oxid železitý-polymaltóza;;;
Maltofer Fol;Železo v kombinácii s kyselinou listovou;;;
MANTOMED 10 mg;Memantín;;;
MANTOMED 20 mg;Memantín;;;
Marixino 10 mg filmom obalené tablety;Memantín;;;
Marixino 10 mg filmom obalené tablety;Memantín;;;
Marixino 20 mg filmom obalené tablety;Memantín;;;
Marixino 20 mg filmom obalené tablety;Memantín;;;
MAVENCLAD 10 mg tablety;Kladribín;;;
MAVENCLAD 10 mg tablety;Kladribín;;;
MAVENCLAD 10 mg tablety;Kladribín;;;
Maviret 100 mg/40 mg filmom obalené tablety;Glekaprevir a pibrentasvir;;;
Maxalt RPD 10 mg;Rizatriptán;;;
Maymetsi 50 mg/1000 mg filmom obalené tablety;Metformín a sitagliptín;;;
Maymetsi 50 mg/1000 mg filmom obalené tablety;Metformín a sitagliptín;;;
Maymetsi 50 mg/850 mg filmom obalené tablety;Metformín a sitagliptín;;;
Maymetsi 50 mg/850 mg filmom obalené tablety;Metformín a sitagliptín;;;
Maysiglu 100 mg filmom obalené tablety;Sitagliptín;;;
Maysiglu 100 mg filmom obalené tablety;Sitagliptín;;;
Maysiglu 50 mg filmom obalené tablety;Sitagliptín;;;
Mayzent 0,25 mg filmom obalené tablety;Siponimod;;;
Mayzent 1 mg filmom obalené tablety;Siponimod;;;
Mayzent 2 mg filmom obalené tablety;Siponimod;;;
Meaxin 100 mg filmom obalené tablety;Imatinib;;;
Meaxin 400 mg filmom obalené tablety;Imatinib;;;
Medirazin 1 mikrogram mäkké kapsuly;Alfakalcidol;;;
Medirazin 1 mikrogram mäkké kapsuly;Alfakalcidol;;;
MEDOCIPRIN 250 mg;Ciprofloxacín;;;
MEDOCIPRIN 500 mg;Ciprofloxacín;;;
MEDOCLAV 1 g;Amoxicilín a inhibítor betalaktamázy;;;
MEDOCLAV 156,25 mg;Amoxicilín a inhibítor betalaktamázy;;;
MEDOCLAV 156,25 mg;Amoxicilín a inhibítor betalaktamázy;;;
MEDOCLAV 375 mg;Amoxicilín a inhibítor betalaktamázy;;;
MEDOCLAV 400 mg/5 ml + 57 mg/5 ml prášok na perorálnu suspenziu;Amoxicilín a inhibítor betalaktamázy;;;
MEDOCLAV 625 mg;Amoxicilín a inhibítor betalaktamázy;;;
MEDOCLAV FORTE 312,5 mg;Amoxicilín a inhibítor betalaktamázy;;;
MEDOCLAV FORTE 312,5 mg;Amoxicilín a inhibítor betalaktamázy;;;
MEDOCRIPTINE;Bromokriptín;;;
MEDOFLOXINE 200 mg;Ofloxacín;;;
MEDOFLOXINE 200 mg;Ofloxacín;;;
MEDOFLUCON 150 mg;Flukonazol;;;
MEDOFLUCON 150 mg;Flukonazol;;;
MEDOSPIR 25 mg;Spironolaktón;;;
MEDOTRIGIN 100 mg;Lamotrigín;;;
MEDOTRIGIN 100 mg;Lamotrigín;;;
MEDOTRIGIN 25 mg;Lamotrigín;;;
MEDOTRIGIN 50 mg;Lamotrigín;;;
MEDROL 16 mg;Metylprednizolón;;;
MEDROL 4 mg;Metylprednizolón;;;
MEGAMOX BID 1 g;Amoxicilín a inhibítor betalaktamázy;;;
MEGAMOX DUO;Amoxicilín a inhibítor betalaktamázy;;;
MEGAMOX DUO;Amoxicilín a inhibítor betalaktamázy;;;
MEGESIN 160 mg;Megestrol;;;
Mekinist 2 mg filmom obalené tablety;Trametinib;;;
Mektovi 15 mg filmom obalené tablety;Binimetinib;;;
Melkart 50 mg tablety;Vildagliptín;;;
Melkart Duo 50 mg/1000 mg filmom obalené tablety;Metformín a vildagliptín;;;
Melkart Duo 50 mg/850 mg filmom obalené tablety;Metformín a vildagliptín;;;
Meloxan 15 mg;Meloxikam;;;
Meloxan 15 mg;Meloxikam;;;
Meloxikam FMK 15 mg;Meloxikam;;;
Meloxikam FMK 15 mg;Meloxikam;;;
Meloxikam FMK 15 mg;Meloxikam;;;
Melyd 2 mg tablety;Glimepirid;;;
Melyd 3 mg tablety;Glimepirid;;;
Melyd 3 mg tablety;Glimepirid;;;
Melyd 3 mg tablety;Glimepirid;;;
Melyd 4 mg tablety;Glimepirid;;;
Melyd 4 mg tablety;Glimepirid;;;
Melyd 4 mg tablety;Glimepirid;;;
MEMAMED 10 mg;Memantín;;;
MEMAMED 20 mg;Memantín;;;
Memantin Mylan 10 mg filmom obalené tablety;Memantín;;;
Memantin Mylan 20 mg filmom obalené tablety;Memantín;;;
Memantin Stada 10 mg filmom obalené tablety;Memantín;;;
Memantin Stada 20 mg filmom obalené tablety;Memantín;;;
Memantin Viatris 10 mg/ml perorálny roztok;Memantín;;;
Memantine Accord 10 mg filmom obalené tablety;Memantín;;;
Memantine Accord 20 mg filmom obalené tablety;Memantín;;;
Memantine Grindeks 10 mg filmom obalené tablety;Memantín;;;
Memantine Vipharm 10 mg;Memantín;;;
Memantine Vipharm 20 mg;Memantín;;;
Memantine Vipharm 20 mg;Memantín;;;
Memantine Vipharm 20 mg;Memantín;;;
Memolan 10 mg filmom obalené tablety;Memantín;;;
Memolan 20 mg filmom obalené tablety;Memantín;;;
MeniSerc 16;Betahistín;;;
MeniSerc 24;Betahistín;;;
Menopur 600 IU;Ľudský menopauzový gonadotropín;;;
MENOPUR 75 IU;Ľudský menopauzový gonadotropín;;;
Meriofert Kit 150 IU;Ľudský menopauzový gonadotropín;;;
Meriofert Kit 150 IU;Ľudský menopauzový gonadotropín;;;
Meriofert Kit 75 IU;Ľudský menopauzový gonadotropín;;;
Meriofert Kit 75 IU;Ľudský menopauzový gonadotropín;;;
Meriofert Kit 900 IU;Ľudský menopauzový gonadotropín;;;
Mesocain 1 %;Amidy;;;
MESTINON 60 mg;Pyridostigmín;;;
METALCAPTASE 150;Penicilamín;;;
METAMISTAD tablety;Metamizol, sodná soľ;;;
Metamizol Medreg;Metamizol, sodná soľ;;;
Metamizol Medreg;Metamizol, sodná soľ;;;
Metamizol Stada 500 mg/ml perorálne roztokové kvapky;Metamizol, sodná soľ;;;
Metamizol Teva 500 mg tablety;Metamizol, sodná soľ;;;
Metamizol Teva 500 mg tablety;Metamizol, sodná soľ;;;
Metamizole Kalceks 500 mg/ml injekčný roztok;Metamizol, sodná soľ;;;
Metamizole Kalceks 500 mg/ml injekčný roztok;Metamizol, sodná soľ;;;
Metfogamma 1000;Metformín;;;
Metfogamma 500;Metformín;;;
Metfogamma 500;Metformín;;;
Metfogamma 850;Metformín;;;
Metfogamma 850;Metformín;;;
Metformin Medreg 1 000 mg;Metformín;;;
Metformin Medreg 1 000 mg;Metformín;;;
Metformin Medreg 500 mg;Metformín;;;
Metformin Medreg 500 mg;Metformín;;;
Metformin Medreg 850 mg;Metformín;;;
Metformin Sandoz 1000 mg;Metformín;;;
Metformin Sandoz 500 mg;Metformín;;;
Metformin Sandoz 750 mg;Metformín;;;
Metformin STADA 1000 mg filmom obalené tablety;Metformín;;;
Metformin STADA 1000 mg filmom obalené tablety;Metformín;;;
Metformin STADA 500 mg filmom obalené tablety;Metformín;;;
Metformin STADA 500 mg filmom obalené tablety;Metformín;;;
Metformin STADA 850 mg filmom obalené tablety;Metformín;;;
Metformin STADA 850 mg filmom obalené tablety;Metformín;;;
Metformin Teva XR 1000 mg;Metformín;;;
Metformin Teva XR 500 mg;Metformín;;;
Metformin Teva XR 750 mg;Metformín;;;
Metformin Viatris 1000 mg;Metformín;;;
Metformin Viatris 1000 mg filmom obalené tablety;Metformín;;;
Metformin Viatris 500 mg;Metformín;;;
Metformin Viatris 750 mg;Metformín;;;
Metformin Viatris 850 mg filmom obalené tablety;Metformín;;;
Methotrexat Sandoz 20 mg/ ml;Metotrexát;;;
Methotrexat Sandoz 20 mg/ ml;Metotrexát;;;
Methotrexat Sandoz 20 mg/ ml;Metotrexát;;;
METHOTREXAT SANDOZ 5000;Metotrexát;;;
Metoject 50 mg/ml injekčný roztok;Metotrexát;;;
Metoject 50 mg/ml injekčný roztok;Metotrexát;;;
Metoject 50 mg/ml injekčný roztok;Metotrexát;;;
Metoject PEN 10 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 10 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 12,5 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 12,5 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 15 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 15 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 17,5 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 17,5 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 20 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 22,5 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 25 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 25 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 7,5 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
Metoject PEN 7,5 mg injekčný roztok naplnený v injekčnom pere;Metotrexát;;;
METOPIRONE;Metyrapón;;;
Metoprolol Medreg 100 mg;Metoprolol;;;
Metoprolol Medreg 50 mg;Metoprolol;;;
Metoprolol ratiopharm 100 mg;Metoprolol;;;
Metoprolol ratiopharm 25 mg;Metoprolol;;;
Metoprolol ratiopharm 50 mg;Metoprolol;;;
Metylfenidát Neuraxpharm 18 mg tablety s predĺženým uvoľňovaním;Metylfenidát;;;
Metylfenidát Neuraxpharm 36 mg tablety s predĺženým uvoľňovaním;Metylfenidát;;;
Metylfenidát Neuraxpharm 54 mg tablety s predĺženým uvoľňovaním;Metylfenidát;;;
Micardis 80 mg tablety;Telmisartan;;;
MicardisPlus 80 mg/12,5 mg tablety;Telmisartan a diuretiká;;;
MicardisPlus 80 mg/25 mg tablety;Telmisartan a diuretiká;;;
MICROPAQUE;Síran bárnatý so suspendujúcimi látkami;;;
MICROPAQUE CT;Síran bárnatý so suspendujúcimi látkami;;;
Mictonorm 15 mg filmom obalené tablety;Propiverín;;;
MIDZA 100 mg filmom obalené tablety;Lakosamid;;;
MIDZA 150 mg filmom obalené tablety;Lakosamid;;;
MIDZA 200 mg filmom obalené tablety;Lakosamid;;;
MIDZA 50 mg filmom obalené tablety;Lakosamid;;;
Miglustat G.L. Pharma 100 mg tvrdé kapsuly;Miglustat;;;
Milgamma NA injekt;Vitamín B1 v kombinácii s vitamínom B6 alebo s vitamínom B12;;;
Milurit 300 mg;Alopurinol;;;
Milurit 300 mg;Alopurinol;;;
MINIRIN Melt 120 µg;Dezmopresín;;;
MINIRIN Melt 120 µg;Dezmopresín;;;
MINIRIN Melt 240 µg;Dezmopresín;;;
MINIRIN Melt 60 µg;Dezmopresín;;;
MINIRIN Melt 60 µg;Dezmopresín;;;
Miraklide 10 mg;Escitalopram;;;
Miraklide 20 mg;Escitalopram;;;
Mirapexin 0,52 mg tablety s predĺženým uvoľňovaním;Pramipexol;;;
Mirapexin 1,05 mg tablety s predĺženým uvoľňovaním;Pramipexol;;;
Mirapexin 2,1 mg tablety s predĺženým uvoľňovaním;Pramipexol;;;
MIRCERA 50 mikrogramov/0,3 ml injekčný roztok v naplnenej injekčnej striekačke;Metoxypolyetylénglykol-epoetín beta;;;
Mirovian 1000 mg;Metformín;;;
Mirovian 1000 mg;Metformín;;;
Mirovian 500 mg;Metformín;;;
Mirovian 500 mg;Metformín;;;
Mirovian 850 mg;Metformín;;;
Mirovian 850 mg;Metformín;;;
Mirovian XR 1000 mg;Metformín;;;
Mirovian XR 500 mg;Metformín;;;
Mirovian XR 750 mg;Metformín;;;
MIRZATEN 15 mg;Mirtazapín;;;
MIRZATEN 30 mg;Mirtazapín;;;
Mirzaten 45 mg;Mirtazapín;;;
Mixor 80 mg/10 mg;Telmisartan a amlodipín;;;
Mixor 80 mg/10 mg;Telmisartan a amlodipín;;;
Mixor 80 mg/5 mg;Telmisartan a amlodipín;;;
Mixor 80 mg/5 mg;Telmisartan a amlodipín;;;
Moloxin 400 mg filmom obalené tablety;Moxifloxacín;;;
Mometasone Sandoz 50 mikrogramov;Mometazón;;;
Mometasone Sandoz 50 mikrogramov;Mometazón;;;
Monkasta 10 mg filmom obalené tablety;Montelukast;;;
Monkasta 10 mg filmom obalené tablety;Montelukast;;;
Monkasta 4 mg žuvacie tablety;Montelukast;;;
Monkasta 4 mg žuvacie tablety;Montelukast;;;
Monkasta 5 mg žuvacie tablety;Montelukast;;;
Monkasta 5 mg žuvacie tablety;Montelukast;;;
MONO MACK DEPOT;Izosorbidmononitrát;;;
MONOPOST 50 mikrogramov/ml;Latanoprost;;;
MONOPOST 50 mikrogramov/ml;Latanoprost;;;
MONOPRIL 20 mg;Fozinopril;;;
MONOSAN 20 mg;Izosorbidmononitrát;;;
MONOSAN 20 mg;Izosorbidmononitrát;;;
MONOSAN 40 mg;Izosorbidmononitrát;;;
MONOSAN 40 mg;Izosorbidmononitrát;;;
MONOZIDE;Fozinopril a diuretiká;;;
Montelukast Medreg 10 mg filmom obalené tablety;Montelukast;;;
Montelukast Medreg 10 mg filmom obalené tablety;Montelukast;;;
Montelukast Medreg 10 mg filmom obalené tablety;Montelukast;;;
Montelukast Organon 10 mg;Montelukast;;;
Montelukast Organon 4 mg;Montelukast;;;
Montelukast Organon 4 mg;Montelukast;;;
Montelukast Organon 5 mg;Montelukast;;;
Montelukast Teva 10 mg;Montelukast;;;
Montelukast Teva 10 mg;Montelukast;;;
Montelukast Teva 4 mg;Montelukast;;;
Montelukast Teva 4 mg granulát;Montelukast;;;
Montelukast Teva 5 mg;Montelukast;;;
Montelukast Viatris 10 mg;Montelukast;;;
MORPHIN Biotika 1%;Morfín;;;
MORPHIN Biotika 1%;Morfín;;;
MORYSA 10 mg filmom obalené tablety;Memantín;;;
MORYSA 20 mg filmom obalené tablety;Memantín;;;
MOVALIS 15 mg;Meloxikam;;;
Moventig 25 mg filmom obalené tablety;Naloxegol;;;
MOVIPREP;Makrogol, kombinácie;;;
Movymia 20 mikrogramov/80 mikrolitrov injekčný roztok;Teriparatid;;;
Movymia 20 mikrogramov/80 mikrolitrov injekčný roztok;Teriparatid;;;
Movymia 20 mikrogramov/80 mikrolitrov injekčný roztok;Teriparatid;;;
Moxifloxacin Olikla 5 mg/ml očné roztokové kvapky;Moxifloxacín;;;
Moxogamma 0,2 mg;Moxonidín;;;
Moxogamma 0,3 mg;Moxonidín;;;
Moxogamma 0,4 mg;Moxonidín;;;
Moxonidin-ratiopharm 0,2 mg;Moxonidín;;;
Moxonidin-ratiopharm 0,2 mg;Moxonidín;;;
Moxonidin-ratiopharm 0,3 mg;Moxonidín;;;
Moxonidin-ratiopharm 0,3 mg;Moxonidín;;;
Moxonidin-ratiopharm 0,4 mg;Moxonidín;;;
Moxonidin-ratiopharm 0,4 mg;Moxonidín;;;
MOXOSTAD 0,2 mg;Moxonidín;;;
MOXOSTAD 0,2 mg;Moxonidín;;;
MOXOSTAD 0,3 mg;Moxonidín;;;
MOXOSTAD 0,3 mg;Moxonidín;;;
MOXOSTAD 0,4 mg;Moxonidín;;;
MOXOSTAD 0,4 mg;Moxonidín;;;
MoXynt 0,2 mg;Moxonidín;;;
MoXynt 0,3 mg;Moxonidín;;;
MoXynt 0,3 mg;Moxonidín;;;
MoXynt 0,4 mg;Moxonidín;;;
MoXynt 0,4 mg;Moxonidín;;;
MST Continus 100 mg;Morfín;;;
MST Continus 30 mg;Morfín;;;
MST Continus 60 mg;Morfín;;;
Multaq 400 mg filmom obalené tablety;Dronedarón;;;
MVASI 25 mg/ml infúzny koncentrát;Bevacizumab;;;
MVASI 25 mg/ml infúzny koncentrát;Bevacizumab;;;
MYCOMAX 100;Flukonazol;;;
MYCOMAX 150;Flukonazol;;;
MYCOMAX 150;Flukonazol;;;
Myfenax 250 mg tvrdé kapsuly;Kyselina mykofenolová;;;
Myfenax 500 mg filmom obalené tablety;Kyselina mykofenolová;;;
Myfortic 180 mg;Kyselina mykofenolová;;;
Myfortic 360 mg;Kyselina mykofenolová;;;
Mykofenolát mofetil Sandoz 500 mg filmom obalené tablety;Kyselina mykofenolová;;;
Myocet liposomal 50 mg prášok, disperzia a rozpúšťadlo na koncentrát pre infúznu disperziu;Doxorubicín;;;
Myozyme 50 mg prášok na infúzny koncentrát;Alfa-alglukozidáza;;;
Nakom mite 100 mg/25 mg;Levodopa a inhibítory dekarboxylázy;;;
Nalgesin FORTE 550 mg;Naproxén;;;
Nalgesin FORTE 550 mg;Naproxén;;;
Naloxone Polpharma;Naloxón;;;
Nasofan 50 mikrogramová nosový suspenzný sprej;Flutikazón;;;
NASONEX;Mometazón;;;
NASONEX;Mometazón;;;
NAVELBINE 10 mg;Vinorelbín;;;
NAVELBINE 10 mg;Vinorelbín;;;
NAVELBINE 50 mg;Vinorelbín;;;
NAVELBINE 50 mg;Vinorelbín;;;
NAVELBINE ORAL 20 mg;Vinorelbín;;;
NAVELBINE ORAL 30 mg;Vinorelbín;;;
Navirel;Vinorelbín;;;
Navirel;Vinorelbín;;;
Naxalgan 150 mg;Pregabalín;;;
Naxalgan 300 mg;Pregabalín;;;
Naxalgan 75 mg;Pregabalín;;;
Nebido 1000 mg/4 ml injekčný roztok;Testosterón;;;
Nebilet 5 mg;Nebivolol;;;
Nebilet 5 mg;Nebivolol;;;
Nebilet HCTZ 5 mg/12,5 mg;Nebivolol a tiazidy;;;
Nebitrix 5 mg;Nebivolol;;;
Nebitrix 5 mg;Nebivolol;;;
Nebivolol Krka 5 mg tablety;Nebivolol;;;
Nebivolol Krka 5 mg tablety;Nebivolol;;;
Nebivolol Medreg;Nebivolol;;;
Nebivolol Teva 5 mg;Nebivolol;;;
Nebivolol Teva 5 mg;Nebivolol;;;
Nemdatine 10 mg filmom obalené tablety;Memantín;;;
Nemdatine 10 mg filmom obalené tablety;Memantín;;;
Nemdatine 20 mg filmom obalené tablety;Memantín;;;
Nemdatine 20 mg filmom obalené tablety;Memantín;;;
NEMOTAN 30 mg;Nimodipín;;;
Neotigason 10 mg;Acitretín;;;
Neotigason 25 mg;Acitretín;;;
Nepexto 50 mg injekčný roztok v naplnenej injekčnej striekačke;Etanercept;;;
Nepexto 50 mg injekčný roztok v naplnenom injekčnom pere;Etanercept;;;
Nerlynx 40 mg filmom obalené tablety;Neratinib;;;
Nestibil;Bilastín;;;
Nestibil;Bilastín;;;
Neupro 2 mg/24 h transdermálna náplasť;Rotigotín;;;
Neupro 4 mg/24 h transdermálna náplasť;Rotigotín;;;
Neupro 6 mg/24 h transdermálna náplasť;Rotigotín;;;
Neupro 8 mg/24 h transdermálna náplasť;Rotigotín;;;
Neurotop retard 300 mg;Karbamazepín;;;
Neurotop retard 600 mg;Karbamazepín;;;
Nexavar 200 mg filmom obalené tablety;Sorafenib;;;
Ngenla 24 mg injekčný roztok v naplnenom pere;Somatrogon;;;
Ngenla 60 mg injekčný roztok v naplnenom pere;Somatrogon;;;
Niapelf 100 mg injekčná suspenzia s predľženým uvoľňovaním;Paliperidón;;;
Niapelf 150 mg injekčná suspenzia s predľženým uvoľňovaním;Paliperidón;;;
Niapelf 50 mg injekčná suspenzia s predľženým uvoľňovaním;Paliperidón;;;
Niapelf 75 mg injekčná suspenzia s predľženým uvoľňovaním;Paliperidón;;;
Nidrazid;Izoniazid;;;
Nilemdo 180 mg filmom obalené tablety;Kyselina bempedoová;;;
Nilotinib Accord 150 mg tvrdé kapsuly;Nilotinib;;;
Nilotinib Accord 200 mg tvrdé kapsuly;Nilotinib;;;
Nilotinib STADA 150 mg tvrdé kapsuly;Nilotinib;;;
Nilotinib STADA 150 mg tvrdé kapsuly;Nilotinib;;;
Nilotinib STADA 200 mg tvrdé kapsuly;Nilotinib;;;
Nilotinib STADA 200 mg tvrdé kapsuly;Nilotinib;;;
