"Acute paralytic poliomyelitis, unspecified",A80
Other acute paralytic poliomyelitis,A80
Acute nonparalytic poliomyelitis,A80
"Acute poliomyelitis, unspecified",A80
"Creutzfeldt-Jakob disease, unspecified",A81
Variant Creutzfeldt-Jakob disease,A81
Other Creutzfeldt-Jakob disease,A81
Subacute sclerosing panencephalitis,A81
Progressive multifocal leukoencephalopathy,A81
Kuru,A81
Gerstmann-Straussler-Scheinker syndrome,A81
Fatal familial insomnia,A81
Other atypical virus infections of central nervous system,A81
"Atypical virus infection of central nervous system, unspecified",A81
Sylvatic rabies,A82
Urban rabies,A82
"Rabies, unspecified",A82
Japanese encephalitis,A83
Western equine encephalitis,A83
Eastern equine encephalitis,A83
St Louis encephalitis,A83
Australian encephalitis,A83
California encephalitis,A83
Rocio virus disease,A83
Other mosquito-borne viral encephalitis,A83
"Mosquito-borne viral encephalitis, unspecified",A83
Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],A84
Central European tick-borne encephalitis,A84
Other tick-borne viral encephalitis,A84
"Tick-borne viral encephalitis, unspecified",A84
Enteroviral encephalitis,A85
Adenoviral encephalitis,A85
"Arthropod-borne viral encephalitis, unspecified",A85
Other specified viral encephalitis,A85
Unspecified viral encephalitis,A86
Enteroviral meningitis,A87
Adenoviral meningitis,A87
Lymphocytic choriomeningitis,A87
Other viral meningitis,A87
"Viral meningitis, unspecified",A87
Enteroviral exanthematous fever [Boston exanthem],A88
Epidemic vertigo,A88
Other specified viral infections of central nervous system,A88
Unspecified viral infection of central nervous system,A89
Dengue fever [classical dengue],A90
Dengue hemorrhagic fever,A91
Chikungunya virus disease,A92
O'nyong-nyong fever,A92
Venezuelan equine fever,A92
"West Nile virus infection, unspecified",A92
West Nile virus infection with encephalitis,A92
West Nile virus infection with other neurologic manifestation,A92
West Nile virus infection with other complications,A92
Rift Valley fever,A92
Other specified mosquito-borne viral fevers,A92
"Mosquito-borne viral fever, unspecified",A92
Oropouche virus disease,A93
Sandfly fever,A93
Colorado tick fever,A93
Other specified arthropod-borne viral fevers,A93
Unspecified arthropod-borne viral fever,A94
Sylvatic yellow fever,A95
Urban yellow fever,A95
"Yellow fever, unspecified",A95
Junin hemorrhagic fever,A96
Machupo hemorrhagic fever,A96
Lassa fever,A96
Other arenaviral hemorrhagic fevers,A96
"Arenaviral hemorrhagic fever, unspecified",A96
Crimean-Congo hemorrhagic fever,A98
Omsk hemorrhagic fever,A98
Kyasanur Forest disease,A98
Marburg virus disease,A98
Ebola virus disease,A98
Hemorrhagic fever with renal syndrome,A98
Other specified viral hemorrhagic fevers,A98
Unspecified viral hemorrhagic fever,A99
Eczema herpeticum,B00
Herpesviral vesicular dermatitis,B00
Herpesviral gingivostomatitis and pharyngotonsillitis,B00
Herpesviral meningitis,B00
Herpesviral encephalitis,B00
"Herpesviral ocular disease, unspecified",B00
Herpesviral iridocyclitis,B00
Herpesviral keratitis,B00
Herpesviral conjunctivitis,B00
Other herpesviral disease of eye,B00
Disseminated herpesviral disease,B00
Herpesviral hepatitis,B00
Herpes simplex myelitis,B00
Other herpesviral infection,B00
"Herpesviral infection, unspecified",B00
Varicella meningitis,B01
Varicella encephalitis and encephalomyelitis,B01
Varicella myelitis,B01
Varicella pneumonia,B01
Varicella keratitis,B01
Other varicella complications,B01
Varicella without complication,B01
Zoster encephalitis,B02
Zoster meningitis,B02
Postherpetic geniculate ganglionitis,B02
Postherpetic trigeminal neuralgia,B02
Postherpetic polyneuropathy,B02
Postherpetic myelitis,B02
Other postherpetic nervous system involvement,B02
"Zoster ocular disease, unspecified",B02
Zoster conjunctivitis,B02
Zoster iridocyclitis,B02
Zoster keratitis,B02
Zoster scleritis,B02
Other herpes zoster eye disease,B02
Disseminated zoster,B02
Zoster with other complications,B02
Zoster without complications,B02
Smallpox,B03
Monkeypox,B04
Measles complicated by encephalitis,B05
Measles complicated by meningitis,B05
Measles complicated by pneumonia,B05
Measles complicated by otitis media,B05
Measles with intestinal complications,B05
Measles keratitis and keratoconjunctivitis,B05
Other measles complications,B05
Measles without complication,B05
"Rubella with neurological complication, unspecified",B06
Rubella encephalitis,B06
Rubella meningitis,B06
Other neurological complications of rubella,B06
Rubella pneumonia,B06
Rubella arthritis,B06
Other rubella complications,B06
Rubella without complication,B06
Plantar wart,B07
Other viral warts,B07
"Viral wart, unspecified",B07
Cowpox,B08
Vaccinia not from vaccine,B08
Orf virus disease,B08
Pseudocowpox [milker's node],B08
"Paravaccinia, unspecified",B08
Other orthopoxvirus infections,B08
Molluscum contagiosum,B08
"Exanthema subitum [sixth disease], unspecified",B08
Exanthema subitum [sixth disease] due to human herpesvirus 6,B08
Exanthema subitum [sixth disease] due to human herpesvirus 7,B08
Erythema infectiosum [fifth disease],B08
Enteroviral vesicular stomatitis with exanthem,B08
Enteroviral vesicular pharyngitis,B08
"Parapoxvirus infection, unspecified",B08
Bovine stomatitis,B08
Sealpox,B08
Other parapoxvirus infections,B08
"Yatapoxvirus infection, unspecified",B08
Tanapox virus disease,B08
Yaba pox virus disease,B08
Other yatapoxvirus infections,B08
Other specified viral infections characterized by skin and mucous membrane lesions,B08
Unspecified viral infection characterized by skin and mucous membrane lesions,B09
Human herpesvirus 6 encephalitis,B10
Other human herpesvirus encephalitis,B10
Human herpesvirus 6 infection,B10
Human herpesvirus 7 infection,B10
Other human herpesvirus infection,B10
Hepatitis A with hepatic coma,B15
Hepatitis A without hepatic coma,B15
Acute hepatitis B with delta-agent with hepatic coma,B16
Acute hepatitis B with delta-agent without hepatic coma,B16
Acute hepatitis B without delta-agent with hepatic coma,B16
Acute hepatitis B without delta-agent and without hepatic coma,B16
Acute delta-(super) infection of hepatitis B carrier,B17
Acute hepatitis C without hepatic coma,B17
Acute hepatitis C with hepatic coma,B17
Acute hepatitis E,B17
Other specified acute viral hepatitis,B17
"Acute viral hepatitis, unspecified",B17
Chronic viral hepatitis B with delta-agent,B18
Chronic viral hepatitis B without delta-agent,B18
Chronic viral hepatitis C,B18
Other chronic viral hepatitis,B18
"Chronic viral hepatitis, unspecified",B18
Unspecified viral hepatitis with hepatic coma,B19
Unspecified viral hepatitis B without hepatic coma,B19
Unspecified viral hepatitis B with hepatic coma,B19
Unspecified viral hepatitis C without hepatic coma,B19
Unspecified viral hepatitis C with hepatic coma,B19
Unspecified viral hepatitis without hepatic coma,B19
Human immunodeficiency virus [HIV] disease,B20
Cytomegaloviral pneumonitis,B25
Cytomegaloviral hepatitis,B25
Cytomegaloviral pancreatitis,B25
Other cytomegaloviral diseases,B25
"Cytomegaloviral disease, unspecified",B25
Mumps orchitis,B26
Mumps meningitis,B26
Mumps encephalitis,B26
Mumps pancreatitis,B26
Mumps hepatitis,B26
Mumps myocarditis,B26
Mumps nephritis,B26
Mumps polyneuropathy,B26
Mumps arthritis,B26
Other mumps complications,B26
Mumps without complication,B26
Gammaherpesviral mononucleosis without complication,B27
Gammaherpesviral mononucleosis with polyneuropathy,B27
Gammaherpesviral mononucleosis with meningitis,B27
Gammaherpesviral mononucleosis with other complications,B27
Cytomegaloviral mononucleosis without complications,B27
Cytomegaloviral mononucleosis with polyneuropathy,B27
Cytomegaloviral mononucleosis with meningitis,B27
Cytomegaloviral mononucleosis with other complication,B27
Other infectious mononucleosis without complication,B27
Other infectious mononucleosis with polyneuropathy,B27
Other infectious mononucleosis with meningitis,B27
Other infectious mononucleosis with other complication,B27
"Infectious mononucleosis, unspecified without complication",B27
"Infectious mononucleosis, unspecified with polyneuropathy",B27
"Infectious mononucleosis, unspecified with meningitis",B27
"Infectious mononucleosis, unspecified with other complication",B27
Keratoconjunctivitis due to adenovirus,B30
Conjunctivitis due to adenovirus,B30
Viral pharyngoconjunctivitis,B30
Acute epidemic hemorrhagic conjunctivitis (enteroviral),B30
